PROFILE   1 (  1)  column H2O  40.726 kg/m**2  column O3 276.354 DU            
Lvl    Alt Pressure   Temp      H2O      CO2       O3        N2O         CO         CH4        O2           N2    
  1  66.10     0.10 230.17 4.07E-06 3.60E-04 5.85E-07 1.33E-09 2.40E-07 1.50E-07 2.09E-01 7.81E-01
  2  58.92     0.29 257.92 5.01E-06 3.60E-04 1.33E-06 2.17E-09 1.07E-07 1.53E-07 2.09E-01 7.81E-01
  3  52.38     0.69 272.32 5.42E-06 3.60E-04 2.23E-06 3.75E-09 5.67E-08 1.85E-07 2.09E-01 7.81E-01
  4  46.63     1.42 273.33 5.48E-06 3.60E-04 3.80E-06 1.11E-08 3.59E-08 3.02E-07 2.09E-01 7.81E-01
  5  41.75     2.61 262.16 5.25E-06 3.60E-04 6.29E-06 3.14E-08 2.74E-08 4.86E-07 2.09E-01 7.81E-01
  6  37.74     4.41 252.26 5.02E-06 3.60E-04 8.51E-06 6.30E-08 2.26E-08 6.46E-07 2.09E-01 7.81E-01
  7  34.37     6.95 244.09 4.93E-06 3.60E-04 8.74E-06 9.65E-08 1.98E-08 7.60E-07 2.09E-01 7.81E-01
  8  31.51    10.37 237.35 4.80E-06 3.60E-04 7.74E-06 1.24E-07 1.81E-08 8.55E-07 2.09E-01 7.81E-01
  9  29.04    14.81 232.06 4.62E-06 3.60E-04 6.67E-06 1.47E-07 1.68E-08 9.36E-07 2.09E-01 7.81E-01
 10  26.86    20.40 227.85 4.40E-06 3.60E-04 5.76E-06 1.62E-07 1.58E-08 9.99E-07 2.09E-01 7.81E-01
 11  24.93    27.26 225.27 4.19E-06 3.60E-04 4.76E-06 1.75E-07 1.50E-08 1.05E-06 2.09E-01 7.81E-01
 12  23.18    35.51 223.20 3.89E-06 3.60E-04 3.66E-06 1.93E-07 1.34E-08 1.17E-06 2.09E-01 7.81E-01
 13  21.59    45.29 221.32 3.59E-06 3.60E-04 2.78E-06 2.10E-07 1.26E-08 1.29E-06 2.09E-01 7.81E-01
 14  20.14    56.73 219.56 3.35E-06 3.60E-04 2.10E-06 2.31E-07 1.30E-08 1.40E-06 2.09E-01 7.81E-01
 15  18.79    69.97 217.90 3.21E-06 3.60E-04 1.44E-06 2.53E-07 1.57E-08 1.48E-06 2.09E-01 7.81E-01
 16  17.53    85.18 216.47 3.18E-06 3.60E-04 9.03E-07 2.70E-07 2.12E-08 1.53E-06 2.09E-01 7.81E-01
 17  16.39   102.05 215.77 3.25E-06 3.60E-04 6.60E-07 2.83E-07 2.76E-08 1.57E-06 2.09E-01 7.81E-01
 18  15.26   122.04 215.70 3.46E-06 3.60E-04 5.40E-07 2.92E-07 3.59E-08 1.60E-06 2.09E-01 7.81E-01
 19  14.22   143.84 215.71 4.35E-06 3.60E-04 4.55E-07 2.98E-07 4.62E-08 1.62E-06 2.09E-01 7.81E-01
 20  13.24   167.95 216.50 7.48E-06 3.60E-04 3.50E-07 3.03E-07 5.84E-08 1.64E-06 2.09E-01 7.81E-01
 21  12.32   194.36 219.73 1.78E-05 3.60E-04 2.61E-07 3.07E-07 7.15E-08 1.65E-06 2.09E-01 7.81E-01
 22  11.43   222.94 225.09 4.90E-05 3.60E-04 2.04E-07 3.11E-07 8.31E-08 1.67E-06 2.09E-01 7.81E-01
 23  10.58   253.71 230.76 1.25E-04 3.60E-04 1.62E-07 3.15E-07 9.27E-08 1.68E-06 2.09E-01 7.81E-01
 24   9.76   286.60 236.19 2.53E-04 3.60E-04 1.32E-07 3.18E-07 1.01E-07 1.69E-06 2.09E-01 7.81E-01
 25   8.96   321.50 241.42 3.98E-04 3.60E-04 1.11E-07 3.19E-07 1.09E-07 1.69E-06 2.09E-01 7.81E-01
 26   8.20   358.28 246.45 5.77E-04 3.60E-04 9.67E-08 3.20E-07 1.16E-07 1.70E-06 2.09E-01 7.81E-01
 27   7.46   396.81 251.30 8.05E-04 3.60E-04 8.46E-08 3.20E-07 1.21E-07 1.70E-06 2.09E-01 7.81E-01
 28   6.75   436.95 255.95 1.09E-03 3.60E-04 7.45E-08 3.20E-07 1.25E-07 1.70E-06 2.09E-01 7.81E-01
 29   6.07   478.54 260.30 1.44E-03 3.60E-04 6.61E-08 3.20E-07 1.28E-07 1.70E-06 2.09E-01 7.81E-01
 30   5.42   521.46 264.38 1.89E-03 3.60E-04 5.94E-08 3.20E-07 1.30E-07 1.70E-06 2.09E-01 7.81E-01
 31   4.79   565.54 268.21 2.51E-03 3.60E-04 5.41E-08 3.20E-07 1.30E-07 1.70E-06 2.09E-01 7.81E-01
 32   4.19   610.60 271.87 3.35E-03 3.60E-04 4.97E-08 3.20E-07 1.31E-07 1.70E-06 2.09E-01 7.81E-01
 33   3.61   656.43 275.37 4.47E-03 3.60E-04 4.60E-08 3.20E-07 1.33E-07 1.70E-06 2.09E-01 7.81E-01
 34   3.06   702.73 278.71 5.81E-03 3.60E-04 4.27E-08 3.20E-07 1.35E-07 1.70E-06 2.09E-01 7.81E-01
 35   2.54   749.12 281.80 7.41E-03 3.60E-04 3.99E-08 3.20E-07 1.37E-07 1.70E-06 2.09E-01 7.81E-01
 36   2.05   795.09 284.49 9.16E-03 3.60E-04 3.75E-08 3.20E-07 1.40E-07 1.70E-06 2.09E-01 7.81E-01
 37   1.59   839.95 286.90 1.11E-02 3.60E-04 3.56E-08 3.20E-07 1.42E-07 1.70E-06 2.09E-01 7.81E-01
 38   1.17   882.80 288.88 1.28E-02 3.60E-04 3.40E-08 3.20E-07 1.44E-07 1.70E-06 2.09E-01 7.81E-01
 39   0.80   922.46 290.58 1.45E-02 3.60E-04 3.27E-08 3.20E-07 1.46E-07 1.70E-06 2.09E-01 7.81E-01
 40   0.49   957.44 292.01 1.61E-02 3.60E-04 3.17E-08 3.20E-07 1.48E-07 1.70E-06 2.09E-01 7.81E-01
 41   0.24   985.88 293.15 1.75E-02 3.60E-04 3.09E-08 3.20E-07 1.49E-07 1.70E-06 2.09E-01 7.81E-01
 42   0.07  1005.43 293.91 1.84E-02 3.60E-04 3.04E-08 3.20E-07 1.50E-07 1.70E-06 2.09E-01 7.81E-01
 43   0.00  1013.25 294.21 1.87E-02 3.60E-04 3.02E-08 3.20E-07 1.50E-07 1.70E-06 2.09E-01 7.81E-01
PROFILE   3 (  3)  column H2O   8.329 kg/m**2  column O3 373.740 DU            
Lvl    Alt Pressure   Temp      H2O      CO2       O3        N2O         CO         CH4        O2           N2  
  1  63.85     0.10 241.64 4.03E-06 3.60E-04 5.76E-07 1.54E-09 1.80E-07 1.50E-07 2.09E-01 7.81E-01
  2  56.32     0.29 257.28 4.73E-06 3.60E-04 1.44E-06 2.66E-09 8.02E-08 1.60E-07 2.09E-01 7.81E-01
  3  49.80     0.69 265.32 4.95E-06 3.60E-04 2.80E-06 5.05E-09 4.58E-08 2.15E-07 2.09E-01 7.81E-01
  4  44.19     1.42 256.25 5.00E-06 3.60E-04 4.96E-06 1.88E-08 3.12E-08 3.89E-07 2.09E-01 7.81E-01
  5  39.62     2.61 242.53 4.95E-06 3.60E-04 6.85E-06 4.67E-08 2.48E-08 5.71E-07 2.09E-01 7.81E-01
  6  35.91     4.41 231.28 4.87E-06 3.60E-04 7.14E-06 8.03E-08 2.10E-08 7.07E-07 2.09E-01 7.81E-01
  7  32.82     6.95 222.07 4.81E-06 3.60E-04 6.87E-06 1.11E-07 1.89E-08 8.11E-07 2.09E-01 7.81E-01
  8  30.22    10.37 217.98 4.76E-06 3.60E-04 6.23E-06 1.36E-07 1.74E-08 8.97E-07 2.09E-01 7.81E-01
  9  27.95    14.81 216.01 4.71E-06 3.60E-04 5.73E-06 1.54E-07 1.63E-08 9.67E-07 2.09E-01 7.81E-01
 10  25.92    20.40 215.34 4.67E-06 3.60E-04 5.32E-06 1.68E-07 1.54E-08 1.02E-06 2.09E-01 7.81E-01
 11  24.09    27.26 215.20 4.61E-06 3.60E-04 4.81E-06 1.84E-07 1.43E-08 1.10E-06 2.09E-01 7.81E-01
 12  22.43    35.51 215.20 4.55E-06 3.60E-04 4.14E-06 2.00E-07 1.28E-08 1.22E-06 2.09E-01 7.81E-01
 13  20.90    45.29 215.20 4.51E-06 3.60E-04 3.45E-06 2.19E-07 1.27E-08 1.34E-06 2.09E-01 7.81E-01
 14  19.48    56.73 215.22 4.50E-06 3.60E-04 2.66E-06 2.42E-07 1.41E-08 1.44E-06 2.09E-01 7.81E-01
 15  18.16    69.97 215.54 4.50E-06 3.60E-04 1.94E-06 2.62E-07 1.83E-08 1.51E-06 2.09E-01 7.81E-01
 16  16.91    85.18 216.17 4.52E-06 3.60E-04 1.43E-06 2.77E-07 2.45E-08 1.55E-06 2.09E-01 7.81E-01
 17  15.77   102.05 216.74 4.61E-06 3.60E-04 1.09E-06 2.88E-07 3.15E-08 1.58E-06 2.09E-01 7.81E-01
 18  14.64   122.04 217.31 4.72E-06 3.60E-04 8.87E-07 2.96E-07 4.19E-08 1.61E-06 2.09E-01 7.81E-01
 19  13.59   143.84 217.84 4.87E-06 3.60E-04 7.71E-07 3.01E-07 5.40E-08 1.63E-06 2.09E-01 7.81E-01
 20  12.60   167.95 218.33 5.34E-06 3.60E-04 6.39E-07 3.06E-07 6.77E-08 1.65E-06 2.09E-01 7.81E-01
 21  11.67   194.36 218.80 7.06E-06 3.60E-04 4.83E-07 3.10E-07 8.02E-08 1.66E-06 2.09E-01 7.81E-01
 22  10.79   222.94 219.24 1.25E-05 3.60E-04 3.45E-07 3.14E-07 9.05E-08 1.68E-06 2.09E-01 7.81E-01
 23   9.96   253.71 220.83 2.53E-05 3.60E-04 2.46E-07 3.17E-07 9.89E-08 1.68E-06 2.09E-01 7.81E-01
 24   9.17   286.60 224.13 4.74E-05 3.60E-04 1.77E-07 3.19E-07 1.07E-07 1.69E-06 2.09E-01 7.81E-01
 25   8.42   321.50 228.59 7.71E-05 3.60E-04 1.29E-07 3.20E-07 1.14E-07 1.69E-06 2.09E-01 7.81E-01
 26   7.69   358.28 233.01 1.31E-04 3.60E-04 1.00E-07 3.20E-07 1.20E-07 1.70E-06 2.09E-01 7.81E-01
 27   7.00   396.81 237.24 2.21E-04 3.60E-04 8.02E-08 3.20E-07 1.24E-07 1.70E-06 2.09E-01 7.81E-01
 28   6.33   436.95 241.28 3.68E-04 3.60E-04 6.63E-08 3.20E-07 1.27E-07 1.70E-06 2.09E-01 7.81E-01
 29   5.69   478.54 245.18 5.53E-04 3.60E-04 5.60E-08 3.20E-07 1.29E-07 1.70E-06 2.09E-01 7.81E-01
 30   5.07   521.46 248.91 7.73E-04 3.60E-04 4.80E-08 3.20E-07 1.30E-07 1.70E-06 2.09E-01 7.81E-01
 31   4.48   565.54 252.48 1.01E-03 3.60E-04 4.15E-08 3.20E-07 1.31E-07 1.70E-06 2.09E-01 7.81E-01
 32   3.91   610.60 255.92 1.32E-03 3.60E-04 3.70E-08 3.20E-07 1.32E-07 1.70E-06 2.09E-01 7.81E-01
 33   3.37   656.43 259.05 1.69E-03 3.60E-04 3.36E-08 3.20E-07 1.33E-07 1.70E-06 2.09E-01 7.81E-01
 34   2.85   702.73 261.56 2.07E-03 3.60E-04 3.16E-08 3.20E-07 1.35E-07 1.70E-06 2.09E-01 7.81E-01
 35   2.36   749.12 263.76 2.47E-03 3.60E-04 3.00E-08 3.20E-07 1.38E-07 1.70E-06 2.09E-01 7.81E-01
 36   1.90   795.09 265.40 2.78E-03 3.60E-04 2.91E-08 3.20E-07 1.40E-07 1.70E-06 2.09E-01 7.81E-01
 37   1.48   839.95 266.89 3.09E-03 3.60E-04 2.84E-08 3.20E-07 1.42E-07 1.70E-06 2.09E-01 7.81E-01
 38   1.09   882.80 268.26 3.37E-03 3.60E-04 2.81E-08 3.20E-07 1.44E-07 1.70E-06 2.09E-01 7.81E-01
 39   0.74   922.46 269.47 3.63E-03 3.60E-04 2.80E-08 3.20E-07 1.46E-07 1.70E-06 2.09E-01 7.81E-01
 40   0.45   957.44 270.50 3.87E-03 3.60E-04 2.79E-08 3.20E-07 1.48E-07 1.70E-06 2.09E-01 7.81E-01
 41   0.22   985.88 271.31 4.08E-03 3.60E-04 2.78E-08 3.20E-07 1.49E-07 1.70E-06 2.09E-01 7.81E-01
 42   0.06  1005.43 271.86 4.22E-03 3.60E-04 2.78E-08 3.20E-07 1.50E-07 1.70E-06 2.09E-01 7.81E-01
 43   0.00  1013.25 272.07 4.28E-03 3.60E-04 2.78E-08 3.20E-07 1.50E-07 1.70E-06 2.09E-01 7.81E-01
PROFILE   4 (  4)  column H2O  21.041 kg/m**2  column O3 343.476 DU            
Lvl    Alt Pressure   Temp      H2O      CO2       O3        N2O         CO         CH4        O2           N2 
  1  66.54     0.10 227.47 3.61E-06 3.60E-04 5.54E-07 1.31E-09 2.50E-07 1.50E-07 2.09E-01 7.81E-01
  2  59.45     0.29 261.60 4.49E-06 3.60E-04 1.21E-06 2.10E-09 1.11E-07 1.52E-07 2.09E-01 7.81E-01
  3  52.81     0.69 275.24 4.89E-06 3.60E-04 2.00E-06 3.64E-09 5.82E-08 1.83E-07 2.09E-01 7.81E-01
  4  46.99     1.42 275.58 5.00E-06 3.60E-04 3.39E-06 1.04E-08 3.66E-08 2.93E-07 2.09E-01 7.81E-01
  5  42.08     2.61 268.21 5.00E-06 3.60E-04 5.65E-06 3.01E-08 2.77E-08 4.77E-07 2.09E-01 7.81E-01
  6  37.97     4.41 256.17 5.00E-06 3.60E-04 7.63E-06 6.17E-08 2.28E-08 6.40E-07 2.09E-01 7.81E-01
  7  34.56     6.95 246.19 5.00E-06 3.60E-04 7.56E-06 9.57E-08 1.99E-08 7.57E-07 2.09E-01 7.81E-01
  8  31.67    10.37 238.64 5.00E-06 3.60E-04 6.55E-06 1.23E-07 1.81E-08 8.53E-07 2.09E-01 7.81E-01
  9  29.18    14.81 233.98 4.99E-06 3.60E-04 5.60E-06 1.46E-07 1.68E-08 9.33E-07 2.09E-01 7.81E-01
 10  26.99    20.40 230.54 4.94E-06 3.60E-04 5.16E-06 1.61E-07 1.58E-08 9.98E-07 2.09E-01 7.81E-01
 11  25.03    27.26 228.19 4.90E-06 3.60E-04 4.54E-06 1.75E-07 1.50E-08 1.05E-06 2.09E-01 7.81E-01
